[2017-11-25 09:28:55.666]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.666]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.682]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.682]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.697]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.697]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.697]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.697]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.697]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.713]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.713]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.713]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.713]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.713]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.713]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.729]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.729]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.729]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.729]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.729]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.729]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.744]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.744]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.744]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.744]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
[2017-11-25 09:28:55.744]:Debug oledevices\ospectrograph\opticalintensity.cpp.static Absorbance* OpticalIntensity::toAbsorbance(OpticalIntensity, OpticalIntensity, double, int, int).48-optical =  1
